Symbol;Name;Sector
ATVI;Activision Blizzard;Communication Services
ADBE;Adobe Inc.;Information Technology
AMD;Advanced Micro Devices;Information Technology
ALXN;Alexion Pharmaceuticals;Health Care
ALGN;Align Technology;Health Care
GOOGL;Alphabet Inc. (Class A);Communication Services
GOOG;Alphabet Inc. (Class C);Communication Services
AMZN;Amazon.com;Consumer Discretionary
AEP;American Electric Power;Utilities
AMGN;Amgen;Health Care
ADI;Analog Devices;Information Technology
ANSS;Ansys;Information Technology
AAPL;Apple Inc.;Information Technology
AMAT;Applied Materials, Inc.;Information Technology
ASML;ASML Holding;Information Technology
TEAM;Atlassian;Information Technology
ADSK;Autodesk;Information Technology
ADP;Automatic Data Processing, Inc.;Information Technology
BIDU;Baidu;Communication Services
BIIB;Biogen;Health Care
BKNG;Booking Holdings;Consumer Discretionary
AVGO;Broadcom Inc.;Information Technology
CDNS;Cadence Design Systems;Information Technology
CDW;CDW;Information Technology
CERN;Cerner Corporation;Health Care
CHTR;Charter Communications, Inc.;Communication Services
CHKP;Check Point Software Technologies Ltd.;Information Technology
CTAS;Cintas Corporation;Industrials
CSCO;Cisco Systems;Information Technology
CTSH;Cognizant Technology Solutions Corporation;Information Technology
CMCSA;Comcast Corporation;Communication Services
CPRT;Copart;Industrials
COST;Costco Wholesale Corporation;Consumer Staples
CSX;CSX Corporation;Industrials
DXCM;DexCom;Health Care
DOCU;DocuSign;Information Technology
DLTR;Dollar Tree, Inc.;Consumer Discretionary
EBAY;eBay Inc.;Consumer Discretionary
EA;Electronic Arts;Communication Services
EXC;Exelon Corporation;Utilities
FB;Facebook, Inc.;Communication Services
FAST;Fastenal Company;Industrials
FISV;Fiserv, Inc.;Information Technology
FOXA;Fox Corporation (Class A);Communication Services
FOX;Fox Corporation (Class B);Communication Services
GILD;Gilead Sciences, Inc.;Health Care
IDXX;Idexx Laboratories;Health Care
ILMN;Illumina, Inc.;Health Care
INCY;Incyte Corporation;Health Care
INTC;Intel Corporation;Information Technology
INTU;Intuit;Information Technology
ISRG;Intuitive Surgical;Health Care
JD;JD.com;Consumer Discretionary
KDP;Keurig Dr Pepper Inc.;Consumer Staples
KLAC;KLA Corporation;Information Technology
KHC;Kraft Heinz Co;Consumer Staples
LRCX;Lam Research;Information Technology
LULU;Lululemon Athletica;Consumer Discretionary
MAR;Marriott International;Consumer Discretionary
MRVL;Marvell Technology Group;Information Technology
MTCH;Match Group;Communication Services
MXIM;Maxim Integrated Products;Information Technology
MELI;MercadoLibre;Consumer Discretionary
MCHP;Microchip Technology;Information Technology
MU;Micron Technology, Inc.;Information Technology
MSFT;Microsoft Corporation;Information Technology
MRNA;Moderna;Health Care
MDLZ;Mondelēz International;Consumer Staples
MNST;Monster Beverage Corporation;Consumer Staples
NTES;NetEase, Inc.;Communication Services
NFLX;Netflix;Communication Services
NVDA;Nvidia Corporation;Information Technology
NXPI;NXP Semiconductors;Information Technology
ORLY;O'Reilly Automotive, Inc.;Consumer Discretionary
OKTA;Okta, Inc.;Information Technology
PCAR;Paccar;Industrials
PAYX;Paychex, Inc.;Information Technology
PYPL;PayPal;Information Technology
PTON;Peloton Interactive;Consumer Discretionary
PEP;PepsiCo, Inc.;Consumer Staples
PDD;Pinduoduo Inc.;Consumer Discretionary
QCOM;Qualcomm;Information Technology
REGN;Regeneron Pharmaceuticals;Health Care
ROST;Ross Stores, Inc.;Consumer Discretionary
SGEN;Seagen Inc.;Health Care
SIRI;Sirius XM Holdings Inc.;Communication Services
SWKS;Skyworks Solutions, Inc.;Information Technology
SPLK;Splunk;Information Technology
SBUX;Starbucks Corporation;Consumer Discretionary
SNPS;Synopsys, Inc.;Information Technology
TMUS;T-Mobile US;Communication Services
TSLA;Tesla, Inc.;Consumer Discretionary
TXN;Texas Instruments;Information Technology
TCOM;Trip.com Group;Consumer Discretionary
VRSN;Verisign;Information Technology
VRSK;Verisk Analytics;Industrials
VRTX;Vertex Pharmaceuticals;Health Care
WBA;Walgreen Boots Alliance, Inc.;Consumer Staples
WDAY;Workday, Inc.;Information Technology
XEL;Xcel Energy Inc.;Utilities
XLNX;Xilinx, Inc.;Information Technology
ZM;Zoom Video Communications;Information Technology
